gene,cell_type
Bcl11a,Cajal-Retzius cell
Bcl11b,immature T cell
Bcl11b,DN3 thymocyte
Bcl11b,lamp5 GABAergic cortical interneuron
Bcl11b,medium spiny neuron
Bcl11b,L5/6 near-projecting glutamatergic neuron of the primary motor cortex
Bcl11b,hippocampal neuron
Bcl2,lymphocyte
Bcl2,T cell
Bcl2,alpha-beta T cell
Bcl2,mature alpha-beta T cell
Bcl2,"CD4-positive, alpha-beta T cell"
Bcl2,"CD8-positive, alpha-beta T cell"
Bcl2,"effector CD8-positive, alpha-beta T cell"
Bcl2,mature NK T cell
Bcl2,mature T cell
Bcl2,thymocyte
Bcl2,double negative thymocyte
Bcl2,DN3 thymocyte
Bcl2,DN4 thymocyte
Bcl2,innate lymphoid cell
Bcl2,natural killer cell
Bcl2a1a,alveolar macrophage
Bcl2a1a,lung macrophage
Bcl2a1a,dendritic cell
Bcl2a1a,CD141-positive myeloid dendritic cell
Bcl2a1a,conventional dendritic cell
Bcl2a1a,myeloid dendritic cell
Bcl2a1a,CD1c-positive myeloid dendritic cell
Bcl2a1a,non-classical monocyte
Bcl2l1,vasa recta descending limb cell
Bcl2l1,endothelial stalk cell
Bcl2l1,kidney efferent arteriole endothelial cell
Bcl2l1,kidney capillary endothelial cell
Bcl2l1,enucleate erythrocyte
Bcl3,luminal epithelial cell of mammary gland
Bcl3,mammary gland epithelial cell
Bcl7c,Leydig cell
Bcr,prostate gland microvascular endothelial cell
Bcr,smooth muscle cell of trachea
Bcr,pancreatic stellate cell
Bdkrb1,skeletal muscle satellite cell
Bdkrb1,muscle precursor cell
Bex3,pancreatic endocrine cell
Bex3,type B pancreatic cell
Bex3,pancreatic D cell
Bex3,pancreatic PP cell
Bex3,glandular epithelial cell
Bex3,enteroendocrine cell
Bex3,PP cell
Bex3,endocrine cell
Bhlha15,epithelial cell of prostate
Bhlha15,luminal cell of prostate epithelium
Bhlhe40,Langerhans cell
Bhlhe40,chondrocyte
Bin1,phagocyte
Bin1,macrophage
Bin1,tissue-resident macrophage
Bin1,central nervous system macrophage
Bin1,microglial cell
Bin1,oligodendrocyte
Birc2,endothelial cell of lymphatic vessel
